month,origin,dest,originCode,destCode,carrier,count
01,AEX,BOG,72,327,K8,77
01,AEX,GUA,72,127,FCQ,398
01,AEX,GUA,72,127,XP,68
01,AEX,GYE,72,337,FCQ,202
01,AEX,MGA,72,153,FCQ,17
01,AEX,PAP,72,238,K8,73
01,AEX,SAL,72,118,XP,88
01,AEX,SAP,72,131,09Q,169
01,AEX,SAP,72,131,FCQ,235
01,AEX,SAP,72,131,K8,15
01,AEX,SDQ,72,224,K8,137
01,ALB,YEG,22,916,UA,30
01,ALB,YHZ,22,951,EV,42
01,ANC,HKG,1,729,UA,263
01,ANC,HRB,1,713,NA,243
01,ANC,MNL,1,766,PR,1024
01,ANC,NRT,1,736,DL,360
01,ANC,PVG,1,713,AA,196
01,ANC,YYC,1,916,UA,125
01,AST,YVR,92,906,14Q,2
01,ATL,AMS,34,461,DL,28837
01,ATL,AMS,34,461,KL,12613
01,ATL,ANU,34,206,DL,1218
01,ATL,AUA,34,277,DL,9880
01,ATL,AUA,34,277,FL,3447
01,ATL,BDA,34,207,DL,4523
01,ATL,BJX,34,148,EV,3035
01,ATL,BOG,34,327,DL,7648
01,ATL,BON,34,260,DL,1280
01,ATL,BRU,34,409,DL,5813
01,ATL,BSB,34,316,DL,8935
01,ATL,BZE,34,106,DL,8877
01,ATL,CCS,34,388,DL,9504
01,ATL,CDG,34,427,AF,30906
01,ATL,CDG,34,427,DL,9985
01,ATL,CUN,34,148,DL,50188
01,ATL,CUN,34,148,FL,13334
01,ATL,CZM,34,148,DL,6535
01,ATL,DUB,34,441,DL,3129
01,ATL,DUS,34,429,DL,7100
01,ATL,DXB,34,678,DL,14757
01,ATL,EZE,34,303,DL,12796
01,ATL,FAB,34,493,CRV,8
01,ATL,FCO,34,450,DL,11799
01,ATL,FPO,34,204,DL,919
01,ATL,FPO,34,204,EV,2639
01,ATL,FRA,34,429,DL,11199
01,ATL,FRA,34,429,LH,9956
01,ATL,GCM,34,233,DL,7784
01,ATL,GDL,34,148,DL,8029
01,ATL,GGT,34,204,EV,1213
01,ATL,GIG,34,316,DL,13723
01,ATL,GRU,34,316,DL,14292
01,ATL,GUA,34,127,DL,16204
01,ATL,GUA,34,127,XP,30
01,ATL,ICN,34,778,KE,23881
01,ATL,JNB,34,562,DL,14225
01,ATL,KIN,34,243,DL,6499
01,ATL,LHR,34,493,BA,10973
01,ATL,LHR,34,493,DL,28625
01,ATL,LHR,34,493,UA,213
01,ATL,LIM,34,368,DL,11431
01,ATL,LIR,34,110,DL,9473
01,ATL,LOS,34,555,DL,10462
01,ATL,MAD,34,482,DL,5811
01,ATL,MAN,34,493,DL,7814
01,ATL,MBJ,34,243,DL,22491
01,ATL,MBJ,34,243,FL,6250
01,ATL,MEX,34,148,5D,120
01,ATL,MEX,34,148,AM,4787
01,ATL,MEX,34,148,DL,30413
01,ATL,MGA,34,153,DL,7106
01,ATL,MTY,34,148,EV,9342
01,ATL,MUC,34,429,DL,11077
01,ATL,MVD,34,385,DL,189
01,ATL,NAS,34,204,DL,20944
01,ATL,NAS,34,204,FL,2953
